title,description,label_int,label
 #39;Batman dad is no threat #39;,"A FATHER who scaled the walls of a Cardiff court dressed as superhero Robin said the Buckingham Palace protester posed no threat. Fathers 4 Justice activist Jim Gibson, who earlier this year staged an eye-catching ",1,World
Merck takes down the Dow,"NEW YORK (CBS.MW) - US stocks traded mixed Thurday as Merck shares lost a quarter of their value, dragging blue chips lower, but the Nasdaq moved higher, buoyed by gains in the semiconductor sector.",3,Business
Gillard out of shadow treasurer race,"Julia Gillard has reportedly bowed out of the race to become shadow treasurer, taking enormous pressure off Opposition Leader Mark Latham.",1,World
IE Strategy Backfires,It #39;s official. Microsoft recently stated definitivelyand contrary to rumorsthat there will be no new versions of Internet Explorer for users of older versions of Windows.,4,Sci/Tech
"Olympic Games 2012 great stake for France #39;s sports, says French &lt;b&gt;...&lt;/b&gt;","The success of Paris #39; bid for Olympic Games 2012 would bring an exceptional development for France for at least 6 years, said Jean-Francois Lamour, French minister for Youth and Sports on Tuesday.",2,Sports
Among the well-heeled at the world polo championships in Chantilly (AFP),AFP - Maybe it's something to do with the fact that the playing area is so vast that you need a good pair of binoculars to see the action if it's not taking place right in front of the stands.,1,World
Azzam release to improve Egypt-Israel ties,Egypt #39;s release of accused Israeli spy Azzam Azzam in an apparent swap for six Egyptian students held on suspicion of terrorism is expected to melt the ice and perhaps result ,1,World
Why MS paid Novell half a billion bucks today,"But fresh antitrust suit is in the envelope, says Novell",4,Sci/Tech
Designer puts 96 cores on single chip,Chips that help a computer's main microprocessors perform specific types of math problems are becoming a big business once again.\,4,Sci/Tech
"Israeli soldier, four militants killed in Gaza","GAZA CITY, Gaza Strip: Hamas militants killed an Israeli soldier and wounded four with an explosion in a booby-trapped chicken coop on Tuesday, in what the Islamic group said was an elaborate scheme to lure troops to the area with the help of a double ",1,World
New Crew Sets Off for Space Station,"A rocket carrying two Russian cosmonauts and an American astronaut to the international space station streaked into orbit on Thursday, the latest flight of a Russian space vehicle to fill in for grounded US shuttles.",4,Sci/Tech
ATA Airlines gives rivals a shot at Chicago market,Bankrupt ATA Airlines #39; withdrawal from Chicago #39;s Midway International Airport presents a juicy opportunity for another airline to beef up service in the Midwest ,3,Business
Iran Group Canvasses for Suicide Bombers (AP),"AP - The 300 men filling out forms in the offices of an Iranian aid group were offered three choices: Train for suicide attacks against U.S. troops in Iraq, for suicide attacks against Israelis or to assassinate British author Salman Rushdie.",1,World
Injured Gail Devers Can't Finish Hurdles,"ATHENS, Greece - Gail Devers, the most talented yet star-crossed hurdler of her generation, was unable to complete even one hurdle in 100-meter event Sunday - failing once again to win an Olympic hurdling medal.    Devers, 37, who has three world championships in the hurdles but has always flopped at the Olympics, pulled up short and screamed as she slid under the first hurdle...",1,World
Microsoft releases fixes for seven  #39;critical #39; vulnerabilities,"OCTOBER 12, 2004 (COMPUTERWORLD) - Microsoft Corp. #39;s monthly patch release cycle may be making it more predictable for users to deploy software updates, but there appears to be little letup in the number of holes being discovered in the company #39;s software ",4,Sci/Tech
Gap's gadget garment blasts your favorite tunes,Wearable tech goes mainstream as the Gap introduces jacket with built-in radio.\,4,Sci/Tech
NCAA Game Summary - Northwestern at Wisconsin,"Madison, WI (Sports Network) - Anthony Davis ran for 122 yards and two touchdowns to lead No. 6 Wisconsin over Northwestern, 24-12, to celebrate Homecoming weekend at Camp Randall Stadium.",2,Sports
Arrington Practices,"LaVar Arrington participated in his first practice since Oct. 25, when he aggravated a knee injury that sidelined him for 10 games.",2,Sports
Billie Jean King Retires as U.S. Fed Cup Coach, NEW YORK (Reuters) - Billie Jean King cut her final tie  with the U.S. Fed Cup team Tuesday when she retired as coach.,2,Sports
Owner of Big Electronic Stock Trading System Is Said to Be for Sale,"The Instinet Group, owner of one of the largest electronic stock trading systems, is for sale, executives briefed on the plan say.",3,Business
Vonage doubles its money,Funding round of \$105 million brings broadband Internet telephony company's total haul to \$208 million.,4,Sci/Tech
Dolphins weren't all game,The Miami Dolphins arrived for their final exhibition game last night in New Orleans short nine players.,2,Sports
Squarespace Lets Users Manage Multi-Page Web Sites (washingtonpost.com),"washingtonpost.com - Anthony Casalena was 17 when he got his first job as a programmer for a start-up called HyperOffice, a software company that makes e-mail and contact management applications for the Web. Hired as an intern, he became a regular programmer after two weeks and rewrote the main product line.",4,Sci/Tech
DaimlerChrysler posts \$1.2 billion net profit,"The Auburn Hills-based Chrysler Group made a profit of \$269 million in the third quarter, even though worldwide sales and revenues declined, contributing to a \$1.",3,Business
Airline turns to more profitable routes amid US fare wars,"SAN FRANCISCO (CBS.MW) -- UAL Corp., parent of United Airlines, said Wednesday it will overhaul its route structure to reduce costs and offset rising fuel costs.",3,Business
UN Security Council to Witness Sudan Peace Pledge," NAIROBI (Reuters) - The Sudanese government and its  southern rebel opponents have agreed to sign a pledge in the  Kenyan capital on Friday to formally end a brutal 21-year-old  civil war, with U.N. Security Council ambassadors as witnesses.",1,World
Top 10 in AP Women's Poll Stays Same (AP),"AP - From LSU at No. 1 to Ohio State at No. 10, The AP women's basketball poll had no changes Monday.",2,Sports
Schwarz out of the race,"nother stage victory for race leader Petter Solberg, his fifth since the start of the rally. The Subaru driver is not pulling away at a fast pace from Gronholm and Loeb but the gap is nonetheless increasing steadily.",2,Sports
Big Gulp? Neck ribs may have given aquatic beast unique feeding &lt;b&gt;...&lt;/b&gt;,The fossilized neck bones of a 230-million-year-old sea creature have features suggesting that the animal #39;s snakelike throat could flare open and create suction that would pull in prey.,4,Sci/Tech
IBM Rolling Out Biggest WebSphere Update in 2 Years,"IBM late on Tuesday announced the biggest update of its popular WebSphere business software in two years, adding features such as automatically detecting and fixing problems.",4,Sci/Tech
Labor pains,April 1980 -- Players strike the last eight days of spring training. Ninety-two exhibition games are canceled. June 1981 -- Players stage first midseason strike in history.,2,Sports
AP: Ex-Guatemala Leader Living in Mexico (AP),"AP - Former Guatemalan President Alfonso Portillo  #151; suspected of corruption at home  #151; is living and working part-time in the same Mexican city he fled two decades ago to avoid arrest on murder charges, his close associates told The Associated Press on Sunday.",1,World
Virgin to Launch Commercial Space Flights (AP),AP - British entrepreneur Richard Branson said Monday that his company plans to launch commercial space flights over the next few years.,4,Sci/Tech
Government measures slow China #39;s GDP growth,"Annual economic growth in China has slowed for the third quarter in a row, falling to 9.1 per cent, third-quarter data shows. The slowdown shows the economy is responding to Beijing #39;s efforts to rein in break-neck investment and lending.",3,Business
WTO Delays Decision On E.U.'s Biotech Ban (washingtonpost.com),"washingtonpost.com - BRUSSELS, Aug. 26 -- The United States will have to wait until next year to see its fight with the European Union over biotech foods resolved, as the World Trade Organization agreed to an E.U. request to bring scientists into the debate, officials said Thursday.",1,World
"Group Formed to Track, Thwart IM Threats","A group of Internet security and instant messaging providers have teamed up to detect and thwart the growing threat of IM and peer-to-peer viruses and worms, they said this week.",4,Sci/Tech
Hoosiers have opportunity to prolong Buckeyes #39; woes,"On Sunday, the day after Ohio State dropped to 0-3 in the Big Ten with a 33-7 loss at Iowa, the Columbus Dispatch ran a single word above its game story on the Buckeyes:  quot;Embarrassing.",2,Sports
Pak insists Hurriyat real representative of Kashmiris,"Insisting that Hurriyat Conference is the real representative of Kashmiris, Pakistan has claimed that India is not ready to accept ground realities in Kashmir.",1,World
Truckers call off week-long strike  Joint panel to look into &lt;b&gt;...&lt;/b&gt;,"THE All-India Motor Transport Congress (AIMTC) on Saturday called off its seven-day strike after finalising an agreement with the Government on the contentious issue of service tax and the various demands including tax deducted at source (TDS), scrapping ",3,Business
Schilling gets 20th as Red Sox romp,"BOSTON - Curt Schilling got his 20th win on the eve of Boston #39;s big series with the New York Yankees. Now he wants much more.  quot;In a couple of weeks, hopefully, it will get a lot better, quot; he said after becoming ",2,Sports
BOMBERS FANS LEFT CURSING FATE,"Shooed the ghosts of the Bambino and the Iron Horse and the Yankee Clipper and the Mighty Mick, on his 73rd birthday, no less, and turned Yankee Stadium into a morgue.",2,Sports
Marlon hails sprint revival,"Gold medal-winning Marlon Devonish says the men #39;s 4x100m Olympic relay triumph puts British sprinting back on the map. Devonish, Darren Campbell, Jason Gardener and Mark Lewis-Francis edged out the American ",2,Sports
Euro-Zone Growth Continues to Lag in 2Q (AP),"AP - The euro-zone economy grew by 0.5 percent in the second quarter of 2004, a touch slower than in the first three months of the year, according to initial estimates released Tuesday by the European Union.",3,Business
NASA #39;s longest-serving astronaut retiring,His first space flight was in 1965 when he piloted the first manned Gemini mission. Later he made two trips to the moon -- orbiting during a 1969 flight and then walking on the lunar surface during a mission in 1972.,4,Sci/Tech
Marcus Gronholm out of the race,"he difficult road conditions created a few incidents in the first run of the Epynt stage. Francois Duval takes his second stage victory since the start of the rally, nine tenths better than Sebastien Loeb #39;s performance in second position.",2,Sports
"Probe can't rule out Iran atomic bomb plan, UN watchdog says","VIENNA -- After two years of investigating Iran's atomic program, the UN nuclear watchdog still cannot rule out that Tehran has a secret atom bomb project as Washington insists, the agency's chief said yesterday.",1,World
EBay to Acquire South Korean Auction Firm,"By RACHEL KONRAD    SAN FRANCISCO (AP) -- EBay Inc., which has been aggressively expanding in Asia, plans to increase its stake in South Korea's largest online auction company.    The Internet auction giant said Tuesday night that it would purchase nearly 3 million publicly held shares of Internet Auction Co...",4,Sci/Tech
"Powell wins backing for new NKorea pressure, but hears call for flexibility (AFP)","AFP - US Secretary of State Colin Powell wrapped up a three-nation tour of Asia after winning pledges from Japan, China and South Korea to press North Korea to resume stalled talks on its nuclear weapons programs.",1,World
FSU #39;s Thorpe gets one-game suspension,"Tallahassee, FL (Sports Network) - Florida State head coach Bobby Bowden has suspended senior wide receiver Craphonso Thorpe for the Seminoles #39; game against fellow Atlantic Coast Conference member Duke on Saturday.",2,Sports
How an accountant made poker a draw again,"A few years ago, casinos across the United States were closing their poker rooms to make space for more popular and lucrative slot machines.",3,Business
Egyptian company says one Egyptian hostage in Iraq is free,"CAIRO, Egypt An Egyptian company says one of its four workers who had been kidnapped in Iraq has been freed. It says it can #39;t give the status of the others being held hostage but says it is  quot;doing its best to secure quot; their release.",1,World
Surging gas costs hamper spending ,WASHINGTON -- Consumers were tightfisted amid soaring gasoline costs in August and hurricane-related disruptions last week sent applications for jobless benefits to their highest level in seven months.,3,Business
High-Volume Toys Called a  Hazard,Talking kitchens and vanities. Musical jump ropes and potty seats. Blusterous miniature leaf blowers and vacuum cleaners -- almost as loud as the real things.,3,Business
E-tail Fraud Remains a Threat,"Online merchants in the United States have become better at weeding out fraudulent credit card orders, a new survey indicates. But shipping overseas remains a risky venture. By Joanna Glasner.",3,Business
"Open-Hewitt hits top gear, Mauresmo storms on","Former champion Lleyton Hewitt bristled, battled and eventually blossomed as he took another step towards a second US Open title with a second-round victory over Moroccan Hicham Arazi on Friday.",2,Sports
China Computer Maker Acquires IBM PC Biz (AP),"AP - China's biggest computer maker, Lenovo Group, said Wednesday it has acquired a majority stake in International Business Machines Corp.'s personal computer business for  #36;1.75 billion, one of the biggest Chinese overseas acquisitions ever.",4,Sci/Tech
Keep playing while you're charging,"Popping a gadget into a cradle to recharge it used to mean downtime, but these days chargers are doing double duty, keeping your portable devices playing even when they're charging.",3,Business
Follow-on shy Aussies lead India by 355 runs (AFP),AFP - Hosts India braced themselves for a harrowing chase on a wearing wicket in the first Test after Australia declined to enforce the follow-on here.,1,World
"TI Profit Up on Cellular, TV Chip Sales"," SAN FRANCISCO (Reuters) - Texas Instruments Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TXN.N target=/stocks/quickinfo/fullquote""&gt;TXN.N&lt;/A&gt;,  the largest maker of chips for cellular phones, on Monday said  record demand for its handset and television chips boosted  quarterly profit by 26 percent, even as it struggles with a  nagging inventory problem.",3,Business
ARM shares tumble on deal for chip firm,"LONDON ARM Holdings, a British semiconductor designer, said on Monday that it would buy Artisan Components for \$913 million to broaden its product range.",3,Business
Evolutionary Shrinkage: Stone Age Homo find offers small surprise,"Big evolutionary insights sometimes come in little packages. Witness the startling discovery, in a cave on the eastern Indonesian island of Flores, of the partial skeleton of a half-size Homo species that ",4,Sci/Tech
Canada Presses Haiti on Role for Aristide,"Prime Minister Paul Martin of Canada urged Haitian leaders on Sunday to allow the political party of the deposed president, Jean-Bertrand Aristide, to take part in new elections.",1,World
Hostage takers at Russian school refuse talks with Islamic leader,"Hostage takers holding up to 240 people at a school in southern Russia have refused to talk with a top Islamic leader and demanded to meet with regional leaders instead, ITAR-TASS reported on Wednesday.",1,World
"Going Back for the Future, Mets to Interview Backman","As the Mets round out their search for a new manager, the club is giving a last-minute nod to its past. Wally Backman, an infielder for the Mets from 1980-88 who played second base on the 1986 ",2,Sports
Westfield and Multiplex team up to bid for Chelsfield,MELBOURNE: Global shopping mall owner Westfield Group will team up with Australian developer Multiplex Group to bid 585mil (US\$1.,3,Business
Three children missing on moors,Three children from a care home are missing on the Lancashire moors after they are separated from a group.,1,World
REVIEW: Star Wars Game Gives Battle Tour,"Luke Skywalker and Darth Vader may get all the glory, but a new Star Wars video game finally gives credit to the everyday grunts who couldn #39;t summon the Force for help.",4,Sci/Tech
Van Basten entrusts Dutch captaincy to Davids,"AMSTERDAM, Aug 18 (Reuters) - Midfielder Edgar Davids #39;s leadership qualities and never-say-die attitude have earned him the captaincy of the Netherlands under new coach Marco van Basten. ",2,Sports
"His house damaged by Hurricane Jeanne, Singh pulls out of AmEx","COUNTY KILKENNY, Ireland (PA) -- Hurricane Jeanne has led to world No. 1 Vijay Singh pulling out of this week #39;s WGC-American Express Championship at Mount Juliet.",2,Sports
Packers lose Flanagan for season,"Green Bay, WI (Sports Network) - The Green Bay Packers will be without the services of Pro Bowl center Mike Flanagan for the remainder of the season, as he will undergo left knee surgery.",2,Sports
Diabetics 'must test blood more',"Diabetics should test their blood sugar levels more regularly to reduce the risk of cardiovascular disease, a study says.",1,World
Report: NCAA To Reopen OSU Investigation Monday,"COLUMBUS, Ohio -- NCAA investigators will return to Ohio State University Monday to take another look at the football program after the latest round of allegations made by former players, according to the Akron Beacon Journal.",2,Sports
"U.S. Officials Raid Stores, Arrest 2 in Game Piracy"," LOS ANGELES (Reuters) - Federal authorities raided three  Washington, D.C.-area video game stores and arrested two people  for modifying video game consoles to play pirated video games,  a video game industry group said on Wednesday.",4,Sci/Tech
Reds give Ferguson anniversary present,"Manchester United gave Alex Ferguson a 1,000th game anniversary present by reaching the last 16 of the Champions League yesterday, while four-time winners Bayern Munich romped into the second round with a 5-1 beating of Maccabi Tel Aviv.",2,Sports
War Crime Trials Against Saddam to Start Next Week,Iraq's interim Prime Minister Ayad Allawi announced that proceedings would begin against former Baath Party leaders.,1,World
Delta Reports Wider Quarterly Loss (Reuters),"Reuters - Delta Air Lines Inc. , which is\racing to cut costs to avoid bankruptcy, on Wednesday reported\a wider quarterly loss amid soaring fuel prices and weak\domestic airfares.",3,Business
"TXU Raises Dividend, Yearly Forecasts",Energy utility TXU Corp. on Monday more than quadrupled its quarterly dividend payment and raised its projected earnings for 2004 and 2005 after a companywide performance review.,3,Business
"Northwest, Pilots Reach Tentative Accord on Pay Cut (Update4)","Northwest Airlines Corp., the fourth- largest US airline, and its pilots union reached tentative agreement on a contract that would cut pay and benefits, saving the company \$265 million a year.",3,Business
Figgins does it all at the end,"The last time the Angels played the Texas Rangers, they dropped two consecutive shutouts at home in their most agonizing lost weekend of the season.",2,Sports
"Comcast, Microsoft to Deploy Video Recorder Set-Tops",Microsoft Corp. MSFT.O and cable television provider Comcast Corp. CMCSA.O said on Monday that they would begin deploying set-top boxes powered by Microsoft software starting next week.,3,Business
Suzuki singles into history,"SEATTLE - Chasing a nearly forgotten ghost of the game, Ichiro Suzuki broke one of baseball #39;s oldest records Friday night, smoking a single up the middle for his 258th hit of the year and breaking George Sisler #39;s record for the most hits in a season ",2,Sports
Park continues to lead at Samsung World Championship,"Grace Park, her caddie - and fans - were poking around in the desert brush alongside the 18th fairway desperately looking for her ball.",2,Sports
"Smart, Mobile One in talks for tie-up","Philippines mobile phone operator Smart Communications Inc. is in talks with Singapore #39;s Mobile One for a possible tie-up, BusinessWorld reported Monday.",3,Business
Redskins might be without kicker Hall on Sunday,"Washington Redskins kicker John Hall strained his right groin during practice Thursday, his third leg injury of the season. Hall will be held out of practice Friday and is questionable for Sunday #39;s game against the Chicago Bears.",2,Sports
"Delta slashes 7,000 jobs, Dallas hub",Airline warns it may file for bankruptcy if too many senior pilots take early retirement option. Delta Air LInes #39; CEO says it faces bankruptcy if it can #39;t slow the pace of pilots taking early retirement.,3,Business
Pakistani home brew kills 31,"A toxic batch of home-brewed alcohol has killed 31 people in several towns in central Pakistan, police and hospital officials say.",1,World
Insect Vibrations Tell of Good Times and Bad,"Thornbugs communicate by vibrating the branches they live on. Now scientists are discovering just what the bugs are ""saying.""",4,Sci/Tech
Jones won #39;t be enough for Arkansas,"The Florida Gators and Arkansas Razorbacks meet for just the sixth time Saturday. The Gators hold a 4-1 advantage in the previous five meetings, including last year #39;s 33-28 win.",2,Sports
Kodak cutting 900 jobs overseas,"Kodak Versamark #39;s parent company, Eastman Kodak Co., reported Tuesday it plans to eliminate almost 900 jobs this year in a restructuring of its overseas operations.",3,Business
FDA Official Defends Drug Safety Record,A top official of the US Food and Drug Administration said Friday that he and his colleagues  quot;categorically reject quot; earlier Congressional testimony that the agency has failed to protect the public against dangerous drugs.,3,Business
"North Korea Wants Talks, No Date Yet -- Britain"," BEIJING (Reuters) - North Korea is committed to holding  six-party talks aimed at resolving the crisis over its nuclear  weapons program, but has not indicated when, a top British  official said on Tuesday.",1,World
This Date in Baseball for Oct. 5 (AP),"AP - 1941  #151; Brooklyn catcher Mickey Owen dropped a third strike on Tommy Henrich of what would have been the last out of a Dodgers victory against the New York Yankees. Given the second chance, the Yankees scored four runs for a 7-4 victory and a 3-1 lead in the World Series, which they ended up winning.",2,Sports
Infineon to Pay a Fine in the Fixing of Chip Prices,Federal prosecutors cracked a global cartel that had illegally fixed prices of memory chips in personal computers and servers for three years.,4,Sci/Tech
Oracle's Ellison Confident in PeopleSoft (AP),"AP - Oracle Corp. CEO Larry Ellison reiterated his determination to prevail in a long-running takeover battle with rival business software maker PeopleSoft Inc., predicting the proposed deal will create a more competitive company with improved customer service.",4,Sci/Tech
Furcal's Arrest Disappoints Braves,"Braves shortstop Rafael Furcal was arrested on drunken driving charges Friday, his second D.U.I. arrest in four years.",2,Sports
Marks and Spencer unveils major management shake up (AFP),"AFP - British retailer Marks and Spencer announced a major management shake-up as part of efforts to revive its fortunes, saying trading has become tougher ahead of the crucial Christmas period.",3,Business
Baghdad Airport Closed Indefinitely -- PM Office, BAGHDAD (Reuters) - Iraq's interim government extended the  closure of Baghdad international airport indefinitely on  Saturday under emergency rule imposed ahead of this week's  U.S.-led offensive on Falluja.,1,World
Gold at Last for U.S. Swimmer Coughlin, ATHENS (Reuters) - Natalie Coughlin's run of bad luck  finally took a turn for the better when she won the gold medal  in the women's 100 meters backstroke at the Athens Olympics  Monday.,2,Sports
"Home Depot Reports Higher Profit, Sales"," ATLANTA (Reuters) - Home Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt;, the top home  improvement retailer, on Tuesday reported a 15 percent rise in  third-quarter profit, topping estimates, aided by installed  services and sales to contractors.",3,Business
Dollar Recovers Footing After Fed, LONDON (Reuters) - The dollar fought back from one-month  lows against the euro and Swiss franc on Wednesday as investors  viewed its sell-off in the wake of the Federal Reserve's  verdict on interest rates as overdone.,3,Business
Bitter Malpractice Fight Going to Voters,"Rivaling Bush vs. Kerry for bitterness, doctors and trial lawyers are squaring off this fall in an unprecedented four-state struggle over limiting malpractice awards...",1,World
Boston Scientific Recalls Ear Implant,Boston Scientific Corp said on Friday it has recalled an ear implant the company acquired as part of its purchase of Advanced Bionics in June.,3,Business
Giants Blast Dodgers to Aid Playoff Hopes (AP),"AP - Pedro Feliz hit a tiebreaking grand slam with two outs in the eighth inning for his fourth hit of the day, and the Giants helped their playoff chances with a 9-5 victory over the Los Angeles Dodgers on Saturday.",2,Sports
EARNINGS WATCH,"MarketWatch.com. Richemont sees significant H1 lift, unclear on FY (2:53 AM ET) LONDON (CBS.MW) -- Swiss luxury goods maker Richemont(zz:ZZ:001273145: news, chart, profile), which also is a significant ",3,Business
Crude oil prices climb,"Crude oil climbed more than \$1 in New York on the re-election of President George W. Bush, who has been filling the US Strategic Petroleum Reserve.",3,Business
Tribesmen Press for Hostages' Release (AP),"AP - Hundreds of tribesmen gathered Tuesday near the area where suspected al-Qaida-linked militants are holding two Chinese engineers and demanding safe passage to their reputed leader, a former U.S. prisoner from Guantanamo Bay, Cuba, officials and residents said.",1,World
Scientists Warn of Global Warming Results (AP),"AP - Scientists warned Tuesday that a long-term increase in global temperature of 3.5 degrees could threaten Latin American water supplies, reduce food yields in Asia and result in a rise in extreme weather conditions in the Caribbean.",4,Sci/Tech
N.Y. to Sell Wireless Cos. Lamppost Space (AP),AP - Further proof New York's real estate market is inflated: The city plans to sell space on top of lampposts to wireless phone companies for  #36;21.6 million a year.,4,Sci/Tech
High precision equipment for making nukes disappears from Iraq,"In an alarming development, high-precision equipment and materials which could be used for making nuclear bombs have disappeared from some Iraqi facilities, the United Nations watchdog agency has said.",1,World
Business in Brief,"Yukos #39; largest oil-producing unit regained power supplies from Tyumenenergo, a Siberia-based electricity generator, Friday after the subsidiary pledged to pay 440 million rubles (\$15 million) in debt by Oct. 3.",3,Business
7-Eleven Turns To HP To Streamline Operations,The rollout of new servers and networking switches in stores is part of a five-year agreement supporting 7-Eleven #39;s Retail Information System.,4,Sci/Tech
Hollywood sues 200 US internet thieves,"Top Hollywood studios have launched a wave of court cases against internet users who illegally download film files. The Motion Picture Association of America, which acts as the representative of major film ",4,Sci/Tech
A trio of television technologies,"AUSTRALIANS went into a television-buying frenzy the run-up to the Athens Olympics, suggesting that as a nation we could easily have scored a gold medal for TV purchasing.",4,Sci/Tech
Oil price rise a cloud on Wall Street #39;s happiness on results,US STOCKS vacillated yesterday as rising oil prices muted Wall Streets excitement over strong results from Lehman Brothers and Sprints \$35 billion acquisition of Nextel Communications.,3,Business
Your webcam #39;s spying on you,"The next time you are in your bedroom with your PC plus Webcam switched on, don #39;t think that your privacy is all intact. If you have a Webcam plugged into an infected computer, there is a possibility that ",4,Sci/Tech
"The confidence factor, from one with plenty of it","At the head of the class, Rosabeth Moss Kanter is an intellectual whirlwind: loud, expansive, in constant motion.",3,Business
CL Preview: Three teams still in the hunt in Group B,"LEVERKUSEN/ROME, Dec 7 (SW) - Dynamo Kiev, Bayer Leverkusen, and Real Madrid all have a good chance of qualifying for the Champions League Round of 16 if they can get the right results in Group F on Wednesday night.",2,Sports
No. 16 Iowa Survives Rival Iowa State,"Ed Hinkel made a diving, fingertip catch for a key touchdown and No. 16 Iowa stiffened on defense when it needed to most to beat Iowa State 17-10 Saturday.",2,Sports
