ID,Category,SubCategory,Content,Content_emb,PREDICTED_SENTIMENT
N21106,sports,football_nfl,"Patriots: CB Stephon Gilmore's dominance has had much to do with New England being 8-1 The Patriots headed into their bye week after their first loss of 2019. At 8-1, however, there's been much more good than bad this season, so far. When the team returns for Week 11, they'll still be in the driver's seat for the AFC's No. 1 seed. The schedule won't be easy -- Philadelphia, Dallas, Houston and Kansas City -- but we'll see if the Patriots can regain their form from the first ...","[-0.00322344 -0.00102937  0.02131244 ... -0.00217685 -0.03015763
 -0.01215885]",Neutral
N8371,sports,football_nfl,"Rams' fake punt goes horribly wrong, Steelers get pick Nothing seems to be working for the Rams against the Steelers, and this fake punt attempt was no exception.","[-0.02499956 -0.01732909  0.02680815 ...  0.01230096  0.0099793
 -0.00963939]",Neutral
N56061,sports,football_nfl,9 things we learned from Sunday's games of Week 10 of NFL season ,"[ 0.00443699 -0.00555264  0.03884608 ... -0.01437228  0.00851596
 -0.03465203]",Positive
N14622,news,newscrime,"Family asks for help in solving May cold case Friends and family of a murder victim is asking the community for answers. Corey Johnson, 27, was gunned down on 18th and West Main Streets on May 21. His sister, Monique Johnson, says she has not heard anything from police as far as leads or suspects. Johnson is asking that if someone knows information regarding her brother's murder to come forward. ""I'm just pleading for the public, anyone who knows anything please speak,"" she said. Johnson's...","[-0.01571643  0.01688394 -0.03204869 ... -0.01256031 -0.0182054
 -0.00753747]",Neutral
N13341,news,newsus,"Rising temperatures put U.S. troops at risk during training, report finds By midcentury, troops could face an extra month of heat-index temperatures above 100 F every year, the Union of Concerned Scientists found.","[-0.00918286 -0.02999124  0.01935846 ... -0.00800071 -0.00559723
 -0.00418976]",Neutral
N50451,news,newsus,"Police: Man killed in crash, fire in Pleasant Ridge A man is dead after a car crash turned into a fire in Pleasant Ridge late Sunday night. The crash happened around 10:30 p.m. on Ridge and Montgomery Road. Sign up for our Newsletters Police said emergency crews at the scene found the driver trapped in the car. Officials said the driver crashed into a utility pole causing the car to burst into flames. The driver later died from his injuries. Investigators said they believe the driver was speeding...","[-0.00474731  0.01659006  0.00718477 ...  0.00769524 -0.02899432
 -0.01429298]",Positive
N40065,sports,more_sports,"The Day in Sports: Sunday, November 10, 2019 The Day in Sports: Sunday, November 10, 2019","[-0.0235479  -0.03319617  0.01729816 ... -0.00477959  0.00487505
  0.00371675]",Neutral
N17301,sports,football_nfl,Kirk Cousins responds to narrative about not being able to beat winning teams Cousins helped deliver a huge win for the Vikings over the Cowboys Sunday night.,"[-0.02516906 -0.02184411  0.0357496  ... -0.01983368 -0.01351886
 -0.02465356]",Neutral
N241,finance,finance-companies,"Are Stores Open on Veterans Day? Target, Aldi, Walmart and More Will shoppers be able to make the most of Veterans Day deals this public holiday?","[-0.01757917 -0.02559189  0.01701418 ...  0.00799987 -0.00107703
  0.00077607]",Positive
N56193,sports,football_nfl,Cowboys have questionable red zone calls in loss to Vikings ,"[-0.00277211 -0.04708405  0.0246367  ... -0.00702526  0.00221672
 -0.00681276]",Negative
N33435,lifestyle,lifestylefamily,"Four siblings, all veterans, celebrate Veterans Day in DC Those who pay a visit to the solemn World War II Memorial will come across inscriptions, excerpts of speeches from leaders honoring those who laid down their lives for this country.","[-0.02538241 -0.0106133  -0.01161069 ... -0.02347713  0.00966705
  0.00663011]",Neutral
N10529,sports,football_nfl,Week 10 Game Balls: Few Bright Spots in Colts Dismal Showing against Dolphins ,"[-0.02946881 -0.00581329  0.0412197  ... -0.00980767 -0.0079168
 -0.01457738]",Neutral
N20332,news,newsworld,"Langfords, 100 members of Mormon families leave Mexico after ambush David Langford and his hero son, Devin, who helped save his siblings, are leaving Northwest Mexico, where Mormons lived for decades before drug cartels encroached.","[-0.01713951 -0.00295997 -0.0055255  ... -0.00043574 -0.01135442
 -0.0163304 ]",Neutral
N24301,sports,football_nfl,"10 biggest disappointments of NFL Week 10 From quarterback play to special teams disasters, there was plenty of disappointment to go around in Week 10 of the NFL.","[-0.01402976 -0.02197017  0.03342121 ...  0.00079987 -0.00321861
 -0.01812762]",Positive
N5171,news,elections-2020-us,Still a chance? 2020 longshots insist race is up for grabs Bernie Sanders rallied hundreds of supporters outside the New Hampshire capital when the senator formally filed to compete in the state's first-in-the-nation presidential primary.,"[-0.02212051 -0.02610479  0.00692721 ... -0.01867954 -0.0154973
  0.0076969 ]",Positive
N31581,news,newsus,"Man killed in single-car crash after having medical emergency behind the wheel A 52-year-old man was killed after he had a medical emergency behind the wheel. The Missouri State Highway Patrol said Jeffery T. Gregory was driving on Missouri Highway 79 near the intersection of East Terra Lane Sunday afternoon at around 12:45 when he had a medical emergency. The crash report said the car drove off the left side of the road, ended up on East Terra Lane and flipped before slamming into a concrete median. He was pronounced dead...","[ 0.00779539  0.01586271  0.01961796 ...  0.00043622 -0.01502101
 -0.01392033]",Neutral
N413,news,newsscienceandtechnology,"Google Maps lets you manage your public profile from the Android app Google Maps increasingly thrives on user contributions to fill in details, but you haven't had the option to manage your public profile from the phone app you're probably using to make those contributions. That's a bit backwards, but Google is thankfully setting things right. An updated version of the Android app lets you manage your profile from a new ""your profile"" item in the side menu.","[-0.0091342   0.01014474  0.00884548 ...  0.0146331  -0.00882579
 -0.01996138]",Positive
N43567,news,newspolitics,"High-stakes televised impeachment hearings set for next week William Taylor, the top diplomat in Ukraine, will testify, and Republicans hope to hear from Hunter Biden and the anonymous whistleblower.","[-0.03028886 -0.01363255  0.01163379 ... -0.00419611 -0.00599627
  0.00043523]",Neutral
N39983,news,newscrime,"NYPD Defends Officers In Arrest Of Illegal Food Vendor Despite criticism from some city officials, the NYPD says its officers acted properly in arresting a woman who was illegally selling churros inside a Brooklyn subway station. CBS2's Lisa Rozner reports","[ 0.01845601 -0.01217283  0.01238927 ...  0.00316782 -0.02084335
  0.00969367]",Positive
N9739,sports,football_nfl_videos,Vikings edge Cowboys on 'SNF' Watch the Minnesota Vikings vs. Dallas Cowboys highlights from Week 10 of the 2019 season.,"[-0.01096689 -0.05424096  0.02353366 ... -0.00903801  0.01210874
 -0.00804454]",Neutral
N218,video,news,Bolivia protesters celebrate Morales' resignation Bolivian opposition protesters celebrated joyously in the streets of La Paz on Sunday evening after Bolivian President Evo Morales said he would resign following weeks of protests over a disputed election that has roiled the South American nation.,"[-2.59303879e-02 -7.78166391e-03  4.49340121e-04 ... -9.83851869e-03
  7.33809429e-05 -6.52080495e-03]",Neutral
N61572,sports,football_nfl,"Believe in 'Minkah Magic' as Fitzpatrick sparks Steelers' turnaround Discarded by the Dolphins after a little more than a season, Minkah Fitzpatrick is making a considerable difference for a surging Steelers team.","[-0.01673274 -0.01499816  0.01722833 ... -0.0015153  -0.01047915
 -0.02051488]",Positive
N18340,sports,basketball_nba,"Raptors end Lakers' 7-game winning streak in 113-104 victory LOS ANGELES (AP)   The centerpiece of the Toronto Raptors' championship team works at Staples Center now. Two more key components of last season's sublime roster got injured right before the Raptors arrived in Los Angeles for the reunion. In the opening weeks of life after Kawhi, the defending champs are learning they might be deeper than even they realized. They definitely had enough to hold off Staples' marquee tenants in a remarkable...","[ 0.01268221 -0.01190043  0.00328247 ... -0.00324739  0.00242385
 -0.00410602]",Positive
N6940,finance,finance-career-education,"Kaiser Permanente CEO And Affordable Health Care Advocate Bernard J. Tyson Dies Health care provider Kaiser Permanente said Sunday its chairman and CEO, Bernard J. Tyson, has died unexpectedly at the age of 60.","[ 0.00403271 -0.01340763 -0.01455425 ...  0.00887979 -0.00599044
 -0.00351152]",Positive
N55199,news,newsus,Winter homeless shelter remains unopened after protests ,"[ 0.01260452 -0.02899433 -0.02501189 ... -0.01770416  0.01030442
 -0.03243791]",Neutral
N25142,entertainment,awards,"Robert Downey Jr. reassures fans he didn't die at 2019 E! PCAs Tony Stark has risen from the dead! The ""Iron Man"" star takes the stage to kick off the E! People's Choice Awards with a bang! Watch.","[-0.00694603 -0.04056223  0.01894953 ... -0.00871934 -0.01168981
 -0.01377682]",Neutral
N40147,sports,football_nfl,"Well, they'll take it: Shining light on the highs and lows from the Bears' win over the Lions on the Bear Download podcast Welcome to the Bear Download podcast. Listen below or subscribe and listen on iTunes | Spotify | Stitcher | Google Play Bears win! Well, yes, they did end their four-game losing streak with a 20-13 victory over the shorthanded Lions. But Rich and Dan break it all down and let some air out of the balloon -- not that much was in there to start. On the bright side, quarterback Mitch Trubisky ...","[ 0.00153341 -0.02248435  0.03139986 ... -0.01315746 -0.00244806
 -0.01978676]",Positive
N41222,news,newsworld,"Evo Morales of Bolivia Accepts Asylum in Mexico Evo Morales, the former president of Bolivia who resigned under pressure from street protests and the military, was granted asylum in Mexico on Monday, departing from the country at a time when it is deeply polarized and leaderless.","[-0.01284001 -0.00749534 -0.00807781 ... -0.01574597  0.0047654
 -0.01313444]",Neutral
N208,sports,football_nfl,Five winners and five losers as the Dallas Cowboys drop a heartbreaker to the Minnesota Vikings A tough loss to swallow for the Cowboys.,"[-0.03037507 -0.02898844  0.03142158 ... -0.00104079  0.00348947
 -0.00413046]",Neutral
N27974,weather,weathertopstories,"Colder Temperatures And A Wintery Mix Expected Monday First on Fox, we begin tonight on the winter watch today`s fall feel giving way to winter in a hurry, and that means getting prepared for the quick change in seasons, and that means some snow. Fox 2/News 11`s Blair Ledet begins our coverage.","[ 0.00777436 -0.02116683 -0.01285835 ...  0.00173093 -0.00387069
 -0.01017458]",Neutral
N3411,sports,basketball_ncaa,"Aldermen, Parents And Players Hope SLPS Will Reconsider Roosevelt Coach Termination New tonight, the Roosevelt High School football coach was fired for contacting players through social media. But theres a push to have him re-instated. Fox 2/News 11s Jeff Bernthal was live with why several St. Louis aldermen want the district to re-consider the coachs termination.","[-0.00717846  0.01334098 -0.00514657 ...  0.00659028 -0.00573809
  0.00729877]",Neutral
N5,sports,icehockey_nhl,"Even David Pastrnak's slumps are superstar caliber for Bruins Guess David Pastrnak isn't going to score 82 goals and accumulate 164 points this season. Or at least he's not on pace to do anymore. After scoring 15 goals and adding 15 assists through the Bruins' first 15 games, Pastrnak had gone two games without a point after he was blanked in Boston's 3-2 shootout loss to Philadelphia at TD Garden on Sunday. Oh the humanity! But here's where things stand in the 23-year-old sniper's career. Gone are the...","[-0.02963875 -0.00129299  0.0351304  ... -0.00804903 -0.02788896
 -0.01954381]",Negative
N20831,sports,soccer_mls,"New buzz on possibility of Major League Soccer in Charlotte Charlotte appears to be in the driver's seat for Major League Soccer's 30th franchise. MLS Commissioner Don Garber mentioned Charlotte as one of three cities in the running at Friday's State of the League press conference. ""It is very likely that we'll announce [the] team 30 in the next number of months,"" Garber said. Garber acknowledged Charlotte, Phoenix and Las Vegas as cities in the mix for expansion. ""It's fair to say that Charlotte has...","[ 0.0229142  -0.00185799  0.00574465 ... -0.00616004 -0.02497506
  0.0225149 ]",Neutral
N5497,news,newsus,"Still teaching at 95, Jimmy Carter draws devotees to church PLAINS, Ga. (AP)   The pilgrims arrive early and from all over, gathering hours before daybreak in an old pecan grove that surrounds a country church. They come, they say, for a dose of simple decency and devotion wrapped up in a Bible lesson. The teacher is the 39th president of the United States, Jimmy Carter. Nearly four decades after he left office and despite a body that's failing after 95 years, the nation's oldest-ever ex-president still...","[-0.00902927 -0.015731    0.00477214 ...  0.00708965 -0.00103586
 -0.00172727]",Neutral
N13019,video,lifestyle,"Still teaching at 95, Jimmy Carter draws devotees to church Former President Jimmy Carter can still draw a crowd, and he does each time he teaches Sunday school in his hometown of Plains, Georgia. (Nov. 11)","[-0.0201995  -0.02159212  0.0096247  ...  0.00271528  0.00541755
 -0.00291051]",Neutral
N6379,news,newscrime,"California cops respond to 2 homeless men shot with arrows: report Two homeless men living at an encampment near San Francisco were shot with arrows early Sunday in an attack that was not random, a report said.","[ 0.00946107 -0.02087916  0.01601902 ... -0.0084372  -0.0091241
 -0.00463009]",Positive
N10311,news,newsworld,"Turkish army takes CNN inside Syria's safe zone A month after Turkey launched its operation into northern Syria, major combat operations around the town of Tal Abyad may have ended, but the battle for this part of Syria is far from over. CNN's Jomana Karadsheh reports.","[-0.00513037 -0.02704282 -0.00673483 ...  0.00738178  0.00587761
  0.0046678 ]",Positive
N5027,news,newsscienceandtechnology,NEW DETAILS: Wright Brothers airport eyes growth as upgrades continue Dayton-Wright Brothers Airport is in the midst of what is expected be more than $4 million in investments as it broadens its regional reach.,"[-0.02297495 -0.03227117  0.01023248 ...  0.00540841 -0.01671992
  0.00092962]",Positive
N64760,news,newsoffbeat,"Supermarket magnate John Catsimatidis offers $1,000 reward in case of possible Queens cat poisonings It might take Cats to catch a heartless feline killer. Supermarket mogul and one-time mayoral hopeful John Catsimatidis is offering a $1,000 reward for information on a suspected cat killer who animal rights activists believe is poisoning feral felines in Queens. Catsimatidis announced the reward on his Cats Roundtable radio show Sunday morning during a segment with Guardian Angels ...","[ 0.00598976  0.00689678  0.00115003 ... -0.03669157 -0.0196738
 -0.02400012]",Positive
N43432,news,newsus,"US Forest Service shuts down vandalized Georgia park feature GAINESVILLE, Ga. (AP)   The U.S. Forest Service says vandalism is forcing it to shut down a popular fall leaf viewing destination in Georgia. The agency posted photos to Facebook on Friday showing a wooden platform covered in white spray paint overlooking the mountainous north Georgia landscape at Chattahoochee-Oconee National Forests.","[-0.00698371 -0.00698371 -0.00046226 ... -0.00543215 -0.00158283
 -0.02355396]",Positive
N17258,news,newsscienceandtechnology,Realme takes chunk of India mobile market as Samsung slides Over 400 percent more phones shipped year-on-year,"[ 0.00478241 -0.0140547  -0.00137474 ... -0.01636866  0.00763214
 -0.01085985]",Positive
N23858,sports,golf,"Young Northeast Florida fans flock to U.S. women's soccer When the U.S. women's national soccer team arrived in Jacksonville for a final exhibition match to conclude their 2019 Victory Tour at TIAA Bank Field against Costa Rica Sunday night, area fans were waiting for them. Although the suspense was low, since the U.S. women's national team has put up an impressive 14-0-0 all-time record against Costa Rica, soccer fans from far and wide showed out to ...","[-0.01668466 -0.02122043  0.02076552 ... -0.01677832  0.00290175
 -0.00937258]",Neutral
N16909,weather,weathertopstories,"Adapting, Learning And Soul Searching: Reflecting On Woolsey Fire Woolsey Fire Anniversary: A community is forever changed by the largest blaze in county history, a harbinger of the catastrophic fire era.","[-0.00846886 -0.01423979  0.00306807 ...  0.01013368 -0.03074321
 -0.03508622]",Positive
N47585,lifestyle,lifestylefamily,Family says 13-year-old Broadway star died from massive asthma attack ,"[-0.00626766  0.00649631  0.00537496 ... -0.00241967 -0.0133309
 -0.03149802]",Neutral
N7482,sports,more_sports,"St. Dominic soccer player tries to kick cancer to the curb Sometimes, what happens on the sidelines can be even more important than what happens on the field. That was the case recently for the improving St. Dominic boys soccer team. ""We're led by some great seniors and they're learning a lot,"" said head soccer coach Greg Koeller. Since 2000, the Crusaders have won five state titles. And if that wasn't enough motivation, they have players who provide inspiration. Like No. 2, Clay North. ""Clay is just an...","[ 0.01929267  0.00695323  0.02250811 ... -0.01039932 -0.0230101
 -0.00336808]",Positive
N34418,sports,soccer_epl,"How the Sounders won MLS Cup Mark, Jeremiah and Casey were so excited they did a postgame podcast.","[ 0.01714381  0.00514513  0.00887046 ... -0.03089071 -0.01593631
  0.00418975]",Neutral
N44276,autos,autossports,Best Sports Car Deals for October ,"[-0.01806777  0.00041362  0.01304101 ... -0.01175509  0.0017454
 -0.02206839]",Neutral
